2024-01-30 14:40:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600397.0618832)}
2024-01-30 14:40:42 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:40:42 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600397.0618832)}
2024-01-30 14:40:42 | INFO | stdout | [32mINFO[0m:     127.0.0.1:56330 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:41:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600442.091558)}
2024-01-30 14:41:27 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:41:27 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600442.091558)}
2024-01-30 14:41:27 | INFO | stdout | [32mINFO[0m:     127.0.0.1:54424 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:42:12 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:42:12 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600487.1408281)}
2024-01-30 14:42:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:33578 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:42:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600532.1886656)}
2024-01-30 14:42:57 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:42:57 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600532.1886656)}
2024-01-30 14:42:57 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60276 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:43:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600577.236854)}
2024-01-30 14:43:42 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:43:42 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600577.236854)}
2024-01-30 14:43:42 | INFO | stdout | [32mINFO[0m:     127.0.0.1:59236 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:44:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600622.2884586)}
2024-01-30 14:44:27 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:44:27 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600622.2884586)}
2024-01-30 14:44:27 | INFO | stdout | [32mINFO[0m:     127.0.0.1:43796 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:45:12 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:45:12 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600667.3342633)}
2024-01-30 14:45:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:55622 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:45:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600712.3810477)}
2024-01-30 14:45:57 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:45:57 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600712.3810477)}
2024-01-30 14:45:57 | INFO | stdout | [32mINFO[0m:     127.0.0.1:55732 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:46:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600757.4290051)}
2024-01-30 14:46:42 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:46:42 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600757.4290051)}
2024-01-30 14:46:42 | INFO | stdout | [32mINFO[0m:     127.0.0.1:46788 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:47:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600802.4762976)}
2024-01-30 14:47:27 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:47:27 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600802.4762976)}
2024-01-30 14:47:27 | INFO | stdout | [32mINFO[0m:     127.0.0.1:41220 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:48:12 | INFO | stdout | ----worker_name:  http://localhost:21003
2024-01-30 14:48:12 | INFO | stdout | ----self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600847.5186367)}
2024-01-30 14:48:12 | INFO | stdout | [32mINFO[0m:     127.0.0.1:34298 - "[1mPOST /receive_heart_beat HTTP/1.1[0m" [32m200 OK[0m
2024-01-30 14:48:14 | INFO | stdout | ----del self.worker_info:  {'http://localhost:21003': WorkerInfo(model_names=['grounding_dino'], speed=1, queue_length=0, check_heart_beat=True, last_heart_beat=1706600892.569515)}
2024-01-30 14:48:57 | INFO | stdout | ----worker_name:  http://localhost:21003
