REPOSITORY              TAG          IMAGE ID       CREATED          SIZE
mqbot-gradio-web-api    latest       67b04f4c8ebb   55 minutes ago   11.2GB
rasa-action_server      latest       8cde33e7b0e7   2 weeks ago      217MB
mq/api_op               latest       f84807c1946d   5 weeks ago      2.33GB
mq/web_op               latest       c0283bb89512   5 weeks ago      1.14GB
vms-dhqghcm-rtsp_op     latest       852970f4aaf6   5 weeks ago      43.1MB
vms-dhqghcm-coturn_op   latest       50e21d1243dc   7 weeks ago      201MB
bitnami/postgresql      14           f7bcf00a08d0   7 weeks ago      274MB
bitnami/redis           6.2          22b799b7e65e   2 months ago     90.5MB
bitnami/nginx           latest       1f75a69704e1   2 months ago     89.2MB
rasa/rasa               3.0.9-full   ab3f8ec0d0f5   22 months ago    2.39GB
